culture	xeq	xeqse	chl	chlse	time	state	sister	identity	Xug	a787
RT146	11.94223333	1.349640387	0.065854	0.001856	9	calcifying	spnp146	b		
RT146	8.983283333	0.997705518	0.109521	0.003215	12	calcifying	spnp146	b		
RT146	22.38756667	1.730370396	0.155188	0.006009	15	calcifying	spnp146	b		
RT146	22.8956	1.730402673	0.163854	0.005783	18	calcifying	spnp146	b		
RT146	18.2433	2.422337888	0.145188	0.019616	21	calcifying	spnp146	b		
X185			0	0	0	calcifying	n	n		
X185	6.095676667	1.70401543	0.006521	0.001528	3	calcifying	n	n		
X185	9.52695	1.949675544	0.020854	0.000882	6	calcifying	n	n		
X185	8.751586667	0.357829978	0.062521	0.002082	9	calcifying	n	n		
X185	14.54463333	0.704264508	0.102188	0.009563	12	calcifying	n	n		
X185	28.50146667	3.555722031	0.174854	0.011893	15	calcifying	n	n		
X185	26.1219	0.932368484	0.208188	0.021365	18	calcifying	n	n		
X185	32.7527	2.673225282	0.208521	0.021385	21	calcifying	n	n		
X362			0	0	0	calcifying	n	n		
X362	6.844313333	0.92689141	0.006188	0.001667	3	calcifying	n	n		
X362	7.405793333	0.432596273	0.026521	0.003606	6	calcifying	n	n		
X362	9.321976667	0.719418919	0.062854	0.005239	9	calcifying	n	n		
X362	14.70506667	2.65051793	0.126854	0.012252	12	calcifying	n	n		
X362	19.28606667	1.669571293	0.177854	0.028345	15	calcifying	n	n		
X362	28.51043333	1.976228601	0.198854	0.048461	18	calcifying	n	n		
X362	27.35176667	1.612032558	0.163188	0.015452	21	calcifying	n	n		
Mf			0	0	0	calcifying	n	n		
Mf	8.876343333	0.286864569	0.008854	0.002404	3	calcifying	n	n		
Mf	10.13300667	1.500581632	0.029854	0.001856	6	calcifying	n	n		
Mf	18.41263333	2.007495506	0.081854	0.011289	9	calcifying	n	n		
Mf	26.2377	3.887130523	0.132521	0.025541	12	calcifying	n	n		
Mf	28.9293	2.531324026	0.169188	0.010477	15	calcifying	n	n		
Mf	31.5941	0.595721923	0.172521	0.047318	18	calcifying	n	n		
Mf	28.40343333	4.510388489	0.153854	0.026872	21	calcifying	n	n		
X146			0.000174	0.000174	0	noncalcifying	spnp146	a		
X146	8.181183333	1.419627899	0.011188	0.000667	3	noncalcifying	spnp146	a		
X146	12.94933333	0.679223724	0.027188	0.002728	6	noncalcifying	spnp146	a		
X146	13.2078	0.898189236	0.050854	0.001667	9	noncalcifying	spnp146	a		
X146	10.01713667	0.390936114	0.100188	0.002333	12	noncalcifying	spnp146	a		
X146	11.0688	0.28686778	0.144854	0.008373	15	noncalcifying	spnp146	a		
X146	13.18106667	1.215109683	0.141188	0.009207	18	noncalcifying	spnp146	a		
X146	13.7336	1.341964479	0.153854	0.008413	21	noncalcifying	spnp146	a		
X351			0	0	0	noncalcifying	np351	a		
X351	5.706503333	1.213268145	0.001014	0.000507	3	noncalcifying	np351	a		
X351	10.89946	1.084674885	0.018188	0.002333	6	noncalcifying	np351	a		
X351	13.6356	0.357825661	0.047188	0.001202	9	noncalcifying	np351	a		
X351	13.01171333	2.318062294	0.142188	0.005487	12	noncalcifying	np351	a		
X351	19.8297	2.117583883	0.192854	0.034168	15	noncalcifying	np351	a		
X351	22.36083333	1.100374022	0.288854	0.027606	18	noncalcifying	np351	a		
X351	23.75113333	1.405005293	0.217854	0.052123	21	noncalcifying	np351	a		
RT351			0	0	0	noncalcifying	np351	b		
RT351	4.21517	0	0.002014	0.001048	3	noncalcifying	np351	b		
RT351	7.940536667	1.807965561	0.020521	0.001528	6	noncalcifying	np351	b		
RT351	8.39509	0.571230567	0.045854	0.002728	9	noncalcifying	np351	b		
RT351	9.090246667	0.582800034	0.086854	0.000882	12	noncalcifying	np351	b		
RT351	12.03136667	0.312314	0.149188	0.002333	15	noncalcifying	np351	b		
RT351	12.53936667	0.294521874	0.169188	0.001202	18	noncalcifying	np351	b		
RT351	12.73543333	0.701307884	0.182854	0.00348	21	noncalcifying	np351	b		
X379			0	0	0	noncalcifying	n	n		
X379	6.862136667	1.006273172	0.010854	0.002028	3	noncalcifying	n	n		
X379	12.23633333	2.147938857	0.018188	0.001764	6	noncalcifying	n	n		
X379	14.95463333	0.573749023	0.038854	0.005175	9	noncalcifying	n	n		
X379	18.48393333	1.760575668	0.081854	0.007535	12	noncalcifying	n	n		
X379	20.3912	0.274388028	0.123521	0.014468	15	noncalcifying	n	n		
X379	28.45693333	3.127281504	0.152521	0.021779	18	noncalcifying	n	n		
X379	21.00613333	2.990319957	0.158188	0.011407	21	noncalcifying	n	n		
Aip24B			0.000174	0.000174	0	noncalcifying	n	n		
Aip24B	7.50383	1.126072633	0.008521	0.000577	3	noncalcifying	n	n		
Aip24B	6.63933	0.687586596	0.023854	0.000882	6	noncalcifying	n	n		
Aip24B	7.36125	0.03565	0.061854	0.002333	9	noncalcifying	n	n		
Aip24B	9.108046667	1.429650338	0.107188	0.010713	12	noncalcifying	n	n		
Aip24B	12.9404	1.540692222	0.130854	0.006642	15	noncalcifying	n	n		
Aip24B	14.92793333	1.459022842	0.143188	0.015762	18	noncalcifying	n	n		
Aip24B	23.6977	0.563405949	0.137854	0.007219	21	noncalcifying	n	n		
Cx			0	0	0	noncalcifying	n	n		
Cx	4.97866	0.76349	0.008521	0.001	3	noncalcifying	n	n		
Cx	7.15625	0.30302	0.042854	0.008212	6	noncalcifying	n	n		
Cx	14.82986667	0.888908174	0.149521	0.003055	9	noncalcifying	n	n		
Cx	20.37333333	2.488019115	0.202521	0.005508	12	noncalcifying	n	n		
Cx	23.38576667	2.068524943	0.232521	0.010017	15	noncalcifying	n	n		
Cx	24.99893333	4.363118417	0.230854	0.007753	18	noncalcifying	n	n		
Cx	34.87383333	1.890860676	0.287188	0.02434	21	noncalcifying	n	n		
MACpc			0	0	0	noncalcifying	n	n		
MACpc	5.65005	0.650545699	0.003854	0.002848	3	noncalcifying	n	n		
MACpc	9.627956667	3.007691953	0.013854	0.002906	6	noncalcifying	n	n		
MACpc	11.51443333	4.116142608	0.014521	0.004041	9	noncalcifying	n	n		
MACpc	14.59813333	2.103333333	0.035521	0.002309	12	noncalcifying	n	n		
MACpc	21.62113333	6.337203476	0.075188	0.002333	15	noncalcifying	n	n		
MACpc	23.2343	5.187379717	0.101854	0.009207	18	noncalcifying	n	n		
MACpc	32.37836667	2.416515609	0.171854	0.028527	21	noncalcifying	n	n		
